user_id,item_id,recommend,sentiment_analysis,posted
76561197970982479,1250.0,True,2.0,2011-11-05
76561197970982479,22200.0,True,2.0,2011-07-15
76561197970982479,43110.0,True,2.0,2011-04-21
js41637,251610.0,True,2.0,2014-06-24
js41637,227300.0,True,2.0,2013-09-08
js41637,239030.0,True,2.0,2013-11-29
evcentric,248820.0,True,2.0,2023-02-03
evcentric,370360.0,True,2.0,2015-12-04
evcentric,237930.0,True,2.0,2014-11-03
evcentric,263360.0,True,1.0,2014-10-15
evcentric,107200.0,True,2.0,2014-10-15
evcentric,224500.0,True,2.0,2014-10-15
doctr,250320.0,True,2.0,2013-10-14
doctr,20920.0,True,2.0,2012-07-28
doctr,204100.0,True,2.0,2012-06-02
doctr,224600.0,True,2.0,2014-06-29
doctr,207610.0,True,0.0,2012-11-22
doctr,108710.0,True,2.0,2012-02-23
maplemage,211420.0,True,1.0,2014-04-15
maplemage,211820.0,True,2.0,2013-12-23
maplemage,730.0,True,2.0,2014-03-14
maplemage,204300.0,True,2.0,2013-07-11
Wackky,249130.0,True,1.0,2014-05-05
Wackky,207610.0,True,1.0,2012-12-24
Wackky,550.0,True,2.0,2012-10-21
Wackky,65800.0,True,2.0,2012-03-20
Wackky,220.0,True,2.0,2012-03-09
76561198079601835,730.0,True,1.0,2023-05-20
MeaTCompany,730.0,True,2.0,2023-07-24
76561198089393905,72850.0,True,0.0,2015-02-01
76561198089393905,440.0,True,1.0,2014-06-20
76561198156664158,252950.0,True,2.0,2023-06-16
76561198077246154,440.0,True,1.0,2023-06-11
76561198077246154,304930.0,True,1.0,2014-08-25
WeiEDKrSat,4000.0,True,1.0,2013-12-25
thequeenpanda,42910.0,True,1.0,2012-06-23
death-hunter,232090.0,True,2.0,2015-09-05
death-hunter,1250.0,True,2.0,2015-03-30
death-hunter,4000.0,True,2.0,2014-02-19
DJKamBer,304930.0,True,2.0,2014-07-14
DJKamBer,570.0,True,2.0,2013-04-27
DJKamBer,218620.0,True,2.0,2015-07-20
DJKamBer,224260.0,True,2.0,2013-11-04
DJKamBer,1250.0,True,0.0,2013-07-12
DJKamBer,440.0,True,2.0,2012-08-19
Rainbow-Dashie,730.0,True,2.0,2015-06-19
Rainbow-Dashie,440.0,True,2.0,2014-09-20
Rainbow-Dashie,49520.0,True,1.0,2014-09-07
76561198043472122,33440.0,False,1.0,2014-12-19
MarbleShrine,220200.0,True,2.0,2015-02-17
PPanther,211820.0,True,2.0,2014-06-07
devvonst,440.0,True,2.0,2014-02-12
devvonst,218740.0,True,2.0,2014-02-09
devvonst,550.0,True,2.0,2015-10-31
Fr0stedLine,220.0,True,2.0,2023-02-27
starkillershadow553,238090.0,True,0.0,2015-02-04
starkillershadow553,242130.0,True,0.0,2023-08-23
starkillershadow553,277430.0,True,2.0,2014-04-05
76561198058373434,8870.0,True,2.0,2015-01-08
76561198048353577,368230.0,True,0.0,2015-10-26
76561198048353577,4000.0,True,2.0,2023-05-16
76561198048353577,33930.0,True,2.0,2013-03-20
76561198066046412,359320.0,False,0.0,2015-12-28
76561198066046412,219640.0,True,2.0,2015-05-19
tru_mu_,287980.0,True,2.0,2015-12-15
76561198070565427,218620.0,True,1.0,2023-03-31
76561198070565427,208090.0,True,2.0,2015-08-21
76561198070565427,242700.0,True,1.0,2014-10-17
76561198070565427,570.0,False,1.0,2014-06-27
76561198070565427,224260.0,True,1.0,2014-04-28
SavageEeEe,221100.0,True,2.0,2015-11-12
76561198076909484,570.0,True,2.0,2014-06-18
KanadeTheNeko,331470.0,True,2.0,2014-11-20
KanadeTheNeko,4000.0,True,2.0,2014-05-29
Leaf_Light_Moscow,323370.0,True,2.0,2023-07-09
GoAwayZach,304930.0,True,2.0,2014-12-29
76561198054540475,12210.0,True,0.0,2015-02-13
76561198054540475,265210.0,True,1.0,2014-12-26
76561198054540475,48700.0,True,2.0,2014-02-04
76561198085547365,238460.0,True,2.0,2023-06-16
76561198085547365,34900.0,True,2.0,2023-06-16
76561198061252210,730.0,True,2.0,2015-05-21
OfficialShroomsy,113200.0,True,2.0,2013-12-06
boydeer,440.0,True,1.0,2014-05-12
boydeer,383080.0,False,1.0,2015-08-24
VVillis,213670.0,True,1.0,2015-01-06
76561198083226897,105600.0,True,1.0,2015-12-22
76561198075277292,730.0,True,0.0,2015-06-23
76561198075277292,570.0,True,2.0,2015-09-11
76561198028895010,231180.0,True,2.0,2013-04-22
76561198028895010,620.0,True,2.0,2012-05-27
76561198170198366,271290.0,True,2.0,2023-01-18
diego9031,4000.0,True,1.0,2023-07-30
diego9031,317360.0,True,1.0,2023-07-28
diego9031,223710.0,True,1.0,2015-12-05
diego9031,299360.0,True,1.0,2015-10-04
diego9031,322330.0,True,1.0,2015-10-03
diego9031,1250.0,True,1.0,2015-08-13
diego9031,12100.0,True,1.0,2015-02-22
diego9031,204360.0,True,2.0,2015-01-14
diego9031,440.0,True,1.0,2013-12-14
diego9031,224260.0,True,2.0,2013-12-01
jarrodtrim,440.0,True,2.0,2012-02-11
76561198078738103,304930.0,True,2.0,2023-02-20
76561198067936203,440.0,True,2.0,2015-03-12
76561198079770573,1840.0,True,1.0,2015-10-14
76561198087586464,440.0,True,2.0,2013-10-27
Derp-e,440.0,True,2.0,2015-11-27
76561198070194565,233250.0,True,1.0,2014-10-09
76561198070194565,449140.0,True,1.0,2023-05-07
76561198070194565,368730.0,True,1.0,2023-05-07
76561198070194565,246280.0,True,1.0,2023-04-04
76561198070194565,427270.0,True,2.0,2023-03-30
76561198070194565,397100.0,True,1.0,2023-03-28
76561198070194565,248570.0,True,1.0,2015-11-09
Rivtex,298630.0,True,1.0,2015-12-23
UTNerd24,244210.0,True,2.0,2014-05-06
UTNerd24,440.0,True,1.0,2015-12-02
UTNerd24,376920.0,True,2.0,2015-06-06
UTNerd24,257750.0,True,2.0,2015-09-29
UTNerd24,221910.0,True,1.0,2014-09-08
UTNerd24,2280.0,True,0.0,2013-12-15
sandwiches1,417860.0,False,1.0,2015-11-23
76561198138053270,218620.0,True,2.0,2014-06-01
lucaswerg,218620.0,True,2.0,2014-07-11
lucaswerg,222880.0,True,1.0,2014-11-14
Life-Of-Blu,377160.0,True,2.0,2015-11-13
Life-Of-Blu,211820.0,True,2.0,2013-12-15
CaptianAutismo,252490.0,True,0.0,2015-12-17
76561198075895633,440.0,True,2.0,2014-10-26
TheDropix101,242920.0,True,2.0,2023-01-11
kube134,251990.0,True,2.0,2014-06-28
iamthekingofbrowntown,344760.0,False,0.0,2015-09-12
iamthekingofbrowntown,252950.0,True,1.0,2015-09-13
iamthekingofbrowntown,236430.0,True,2.0,2023-04-20
iamthekingofbrowntown,399730.0,True,2.0,2015-10-14
MainScout,550.0,True,1.0,2023-02-26
yookobz,377160.0,True,2.0,2015-11-19
yookobz,219150.0,True,2.0,2013-06-25
Posiblydead,277430.0,True,2.0,2014-04-11
Posiblydead,239820.0,True,2.0,2014-02-22
Posiblydead,17410.0,True,2.0,2012-09-24
Mossy_Gaming,440.0,True,2.0,2015-09-26
76561198102421718,270550.0,True,2.0,2015-06-12
76561198102421718,274940.0,True,2.0,2015-08-03
76561198102421718,333930.0,True,0.0,2015-06-26
76561198087407319,440.0,True,1.0,2014-01-15
76561198056741844,730.0,True,1.0,2014-10-14
sad-commie,294100.0,True,0.0,2023-08-31
sad-commie,212070.0,True,0.0,2014-07-09
sad-commie,264140.0,True,1.0,2014-03-13
76561198030567998,332800.0,True,1.0,2014-11-11
76561198030567998,319630.0,True,2.0,2015-07-21
76561198030567998,6020.0,True,0.0,2015-07-05
76561198030567998,55230.0,True,2.0,2015-03-12
76561198030567998,32430.0,True,2.0,2014-02-23
76561198010674657,377160.0,False,2.0,2023-03-27
76561198010674657,440.0,True,0.0,2023-01-15
Coldaniel,35450.0,True,2.0,2015-03-22
Coldaniel,440.0,True,2.0,2014-08-21
Coldaniel,236390.0,True,2.0,2015-03-13
therealmorty,351570.0,True,2.0,2015-03-20
therealmorty,212680.0,True,0.0,2015-03-07
Berserklejerker,391540.0,True,2.0,2015-10-10
76561198061730629,550.0,True,0.0,2014-07-06
YoHuNz,440.0,True,1.0,2014-06-19
YoHuNz,570.0,True,1.0,2014-02-19
possessioniskey,72850.0,True,2.0,2015-04-11
possessioniskey,440.0,True,2.0,2015-12-24
possessioniskey,113400.0,True,2.0,2014-05-17
76561198093112529,440.0,True,2.0,2014-08-09
76561198060447950,200510.0,True,2.0,2015-09-26
whiteofwolfing,730.0,True,2.0,2015-05-22
sergarino,383080.0,True,2.0,2015-08-22
76561198081962345,200210.0,True,2.0,2023-05-26
76561198081962345,1250.0,True,1.0,2014-04-05
76561198073210139,304050.0,True,2.0,2023-01-18
Nozomikat,265610.0,True,2.0,2015-12-30
Nozomikat,264200.0,True,1.0,2014-08-01
Nozomikat,417860.0,True,2.0,2015-12-26
Nozomikat,333600.0,True,2.0,2015-04-14
Nozomikat,213670.0,True,2.0,2014-12-30
Nozomikat,91310.0,True,2.0,2013-12-04
Nozomikat,437220.0,False,0.0,2023-08-19
Nozomikat,210770.0,True,2.0,2013-12-04
xfluttersx,351640.0,True,2.0,2015-11-10
xfluttersx,202530.0,False,2.0,2023-09-14
xfluttersx,105600.0,True,2.0,2012-08-27
xfluttersx,440.0,True,2.0,2014-02-05
xfluttersx,47870.0,True,2.0,2013-01-27
xfluttersx,383080.0,True,2.0,2015-08-25
xfluttersx,410.0,True,2.0,2012-08-27
76561198056290589,730.0,True,2.0,2014-12-16
ii_voltage_ii,253710.0,False,2.0,2014-06-29
ii_voltage_ii,339280.0,True,2.0,2015-04-11
ii_voltage_ii,271290.0,True,2.0,2014-03-08
ii_voltage_ii,203290.0,True,2.0,2013-11-16
76561198097762318,440.0,True,2.0,2015-11-11
76561198097762318,233150.0,True,1.0,2014-12-26
Hirukaz,550.0,True,0.0,2013-01-17
StelerForYou,730.0,True,2.0,2015-07-17
StelerForYou,211820.0,True,2.0,2013-12-29
76561198183396245,440.0,True,2.0,2015-05-06
Xx-Woods,346330.0,False,1.0,2023-07-20
Xx-Woods,224260.0,True,2.0,2015-01-26
Xx-Woods,317360.0,True,2.0,2014-11-16
Xx-Woods,295550.0,True,2.0,2014-08-17
Xx-Woods,250180.0,True,1.0,2014-07-21
Xx-Woods,227940.0,True,0.0,2014-07-19
Xx-Woods,17520.0,True,1.0,2014-02-08
Xx-Woods,113420.0,True,2.0,2014-01-07
kevinator23,320760.0,True,0.0,2015-07-06
kevinator23,8850.0,True,2.0,2015-09-06
kevinator23,233720.0,True,2.0,2014-04-24
kevinator23,218620.0,True,2.0,2015-07-06
kevinator23,730.0,True,2.0,2015-01-27
kevinator23,219740.0,True,2.0,2015-01-25
kevinator23,220240.0,True,2.0,2014-05-24
kevinator23,440.0,True,2.0,2012-10-20
76561198090715178,4000.0,True,2.0,2014-03-28
76561198090715178,304930.0,True,2.0,2014-07-09
CatsWhale,333950.0,True,2.0,2015-02-23
CatsWhale,388520.0,True,2.0,2015-08-29
CatsWhale,107410.0,True,2.0,2014-11-23
CatsWhale,206210.0,True,2.0,2014-09-09
76561198073784601,221100.0,True,2.0,2015-03-26
76561198073784601,299740.0,False,0.0,2023-07-08
mimimomoma,730.0,True,2.0,2015-11-23
76561198102410011,440.0,True,1.0,2015-09-14
de_Butl3r,209870.0,True,2.0,2014-10-13
76561198027947401,322170.0,True,2.0,2023-07-23
76561198027947401,304050.0,True,2.0,2023-02-20
Bluezap1,440.0,True,2.0,2015-12-27
Bluezap1,730.0,True,2.0,2015-05-13
Bluezap1,362890.0,True,2.0,2015-12-27
Bluezap1,413850.0,True,1.0,2015-12-21
76561198074200011,730.0,True,2.0,2015-11-15
jonasdbomb,346110.0,True,2.0,2023-09-09
L1J1N,570.0,True,2.0,2014-06-13
Lord_Exploit,311560.0,True,2.0,2015-03-13
Lord_Exploit,322170.0,True,2.0,2015-01-07
AVATAR715,48240.0,False,0.0,2014-01-02
AVATAR715,440.0,True,2.0,2015-11-18
AVATAR715,248570.0,True,0.0,2014-06-01
AVATAR715,264140.0,True,2.0,2014-03-18
AVATAR715,4000.0,True,2.0,2014-02-16
AVATAR715,266430.0,True,2.0,2015-02-25
AVATAR715,316010.0,True,2.0,2015-08-15
AVATAR715,249570.0,True,2.0,2014-12-25
YieuwMage,730.0,True,2.0,2023-02-22
76561198078752187,240.0,True,1.0,2014-12-16
A-Very-Sly-Person,304930.0,True,1.0,2015-08-14
A-Very-Sly-Person,440.0,True,2.0,2014-11-11
76561198211054671,730.0,True,1.0,2023-05-29
76561198211054671,333930.0,True,0.0,2023-07-03
76561197994493402,365590.0,True,2.0,2023-06-20
76561197994493402,264200.0,True,2.0,2015-03-01
76561197994493402,440.0,True,2.0,2014-11-27
Koolcaz12,298050.0,False,2.0,2023-05-17
76561198065656175,383080.0,True,2.0,2015-11-20
76561198188979775,440.0,True,2.0,2023-09-17
97396295,301520.0,True,2.0,2014-08-23
97396295,243870.0,True,2.0,2014-06-17
97396295,218230.0,False,0.0,2014-07-10
97396295,291550.0,False,0.0,2023-08-26
76561198126640317,251570.0,True,2.0,2015-06-15
76561198126640317,221100.0,True,2.0,2015-02-14
76561198126640317,316010.0,True,2.0,2015-09-12
76561198126640317,218230.0,True,0.0,2015-09-12
76561198126640317,333930.0,True,2.0,2015-07-01
76561198126640317,222880.0,True,2.0,2015-07-01
76561198126640317,730.0,True,2.0,2015-06-15
DemonicWolvz,55230.0,True,2.0,2015-01-15
DemonicWolvz,232090.0,True,2.0,2015-04-29
DemonicWolvz,4000.0,True,1.0,2015-03-29
DemonicWolvz,206420.0,True,2.0,2014-11-23
DemonicWolvz,224260.0,True,2.0,2014-02-12
DemonicWolvz,550.0,True,2.0,2013-12-26
DieMadchenschanderin,346110.0,True,2.0,2015-08-29
DieMadchenschanderin,380770.0,False,0.0,2015-10-05
DieMadchenschanderin,454890.0,True,0.0,2023-06-29
DieMadchenschanderin,227680.0,False,2.0,2013-06-14
GGargula,570.0,False,1.0,2023-09-04
GGargula,233250.0,True,1.0,2015-11-23
Myther43,273350.0,True,2.0,2023-07-16
getf0kinn0sc0pedm9,730.0,True,0.0,2015-05-31
